**************************** COBRA-TF output file ****************************
**************************** heat_balance.out       ****************************
 
 Global heat balance
 ===================
 
No. of   | Total time |Power supply | Inlet power| Outlet power|Power stored |Power stored| Relation      | Deviation of
time step|            |(inner clad. | of coolant | of coolant  |(rod clad. + | in coolant | stored power  | heat balance
(nstep)  | (timet)    |+direct vol.)|            |             |unheat.cond.)|            | / power supply|
   [-]   |   [s]      |    [kW]     |    [kW]    |    [kW]     |    [kW]     |    [kW]    |               |
===========================================================================================================================
   580        4.1120   377524.8125 20200092.0000 20550796.0000    26241.6426      939.9316         7.20 %         0.00 %
   590        4.1220   411103.2500 20200092.0000 20550866.0000    59665.5625     1107.4387        14.78 %         0.00 %
   600        4.1320   529673.5000 20200092.0000 20550994.0000   177986.4062     1266.2861        33.84 %         0.00 %
   610        4.1420   904772.9375 20200092.0000 20551348.0000   552451.8750     1632.4396        61.24 %         0.00 %
   620        4.1520  2312330.2500 20200092.0000 20552416.0000  1958060.5000     2283.6265        84.78 %         0.00 %
   630        4.1620 10075825.0000 20200092.0000 20556200.0000  9714483.0000     5412.4023        96.47 %         0.00 %
   640        4.1720 76660200.0000 20200092.0000 20574784.0000 76261312.0000    27869.7324        99.52 %         0.00 %
   650        4.1820464939680.0000 20200092.0000 20712060.0000464264800.0000   164310.4219        99.89 %         0.00 %
   660        4.1920374257184.0000 20200092.0000 21424160.0000372440096.0000   591722.3125        99.67 %         0.00 %
   670        4.2020100058624.0000 20200092.0000 22930844.0000 96148008.0000  1180957.8750        97.27 %         0.00 %
   680        4.2120 28730828.0000 20200092.0000 26592546.0000 23045442.0000  -708309.6250        77.75 %         0.00 %
   690        4.2220 14478548.0000 20200092.0000 29689036.0000  7993216.5000 -3005512.2500        34.45 %         0.01 %
   700        4.2320 11405443.0000 20200092.0000 31116618.0000  4712273.5000 -4224578.0000         4.28 %         0.00 %
   710        4.2420 10347087.0000 20200092.0000 31463518.0000  3748515.5000 -4666573.0000        -8.87 %         0.01 %
   720        4.2520  9625245.0000 20200092.0000 30589810.0000  3205772.2500 -3970685.2500        -7.95 %         0.00 %
   730        4.2620  9034464.0000 20200092.0000 28890382.0000  2800691.7500 -2455960.5000         3.82 %         0.00 %
   740        4.2720  8581752.0000 20200092.0000 27492290.0000  2550477.0000 -1260176.1250        15.04 %         0.00 %
   750        4.2820  8269608.0000 20200092.0000 26639068.0000  2377621.5000  -546049.3750        22.15 %         0.00 %
   760        4.2920  8060797.5000 20200092.0000 25619258.0000  2303834.7500   338755.1250        32.78 %         0.00 %
   770        4.3020  7901889.0000 20200092.0000 24954366.0000  2261638.7500   886809.0625        39.84 %         0.00 %
   780        4.3120  7762497.0000 20200092.0000 24303142.0000  2235515.5000  1424874.5000        47.15 %         0.00 %
   790        4.3220  7638811.0000 20200092.0000 23801256.0000  2209708.2500  1828721.1250        52.87 %         0.00 %
   800        4.3320  7525717.5000 20200092.0000 23472616.0000  2172741.2500  2081383.1250        56.53 %         0.00 %
   810        4.3420  7417918.5000 20200092.0000 23361688.0000  2134083.2500  2122662.2500        57.38 %         0.00 %
   820        4.3520  7307426.0000 20200092.0000 23353372.0000  2089741.8750  2065054.2500        56.86 %         0.00 %
   830        4.3620  7195055.5000 20200092.0000 23405748.0000  2032541.6250  1957866.6250        55.46 %         0.00 %
   840        4.3720  7079447.0000 20200092.0000 23489652.0000  1971292.1250  1819068.7500        53.54 %         0.00 %
   850        4.3820  6964123.0000 20200092.0000 23586160.0000  1907719.6250  1670745.1250        51.38 %         0.00 %
   860        4.3920  6851757.0000 20200092.0000 23717280.0000  1840723.8750  1493946.2500        48.67 %         0.00 %
   870        4.4020  6745015.0000 20200092.0000 23857444.0000  1778984.5000  1308510.2500        45.77 %         0.00 %
   880        4.4120  6641289.5000 20200092.0000 23979412.0000  1718893.7500  1143586.0000        43.10 %         0.00 %
   890        4.4220  6538954.5000 20200092.0000 24082846.0000  1659278.7500   997468.7500        40.63 %         0.00 %
   900        4.4320  6438648.5000 20200092.0000 24173892.0000  1600723.2500   865015.5625        38.30 %         0.00 %
   910        4.4420  6341476.0000 20200092.0000 24250038.0000  1544221.7500   748598.5625        36.16 %         0.00 %
   920        4.4520  6246872.5000 20200092.0000 24314626.0000  1483356.0000   650177.2500        34.15 %         0.00 %
   930        4.4620  6155906.5000 20200092.0000 24395994.0000  1424152.7500   537281.6875        31.86 %        -0.01 %
   940        4.4720  6067850.5000 20200092.0000 24454706.0000  1368229.1250   445742.9375        29.89 %         0.00 %
   950        4.4820  5983319.5000 20200092.0000 24495508.0000  1316669.8750   372022.2188        28.22 %         0.00 %
   960        4.4920  5902175.0000 20200092.0000 24509824.0000  1270506.0000   322526.8125        26.99 %         0.00 %
   970        4.5020  5824034.5000 20200092.0000 24515024.0000  1224932.7500   284588.0312        25.92 %         0.00 %
   980        4.5120  5749811.0000 20200092.0000 24512880.0000  1183170.7500   253516.5156        24.99 %         0.00 %
   990        4.5220  5678977.0000 20200092.0000 24497026.0000  1144238.8750   237928.8906        24.34 %         0.00 %
  1000        4.5320  5611634.0000 20200092.0000 24485248.0000  1107665.1250   219094.2188        23.64 %         0.00 %
  1010        4.5420  5547206.0000 20200092.0000 24465596.0000  1073409.1250   208419.7188        23.11 %         0.00 %
  1020        4.5520  5486046.0000 20200092.0000 24452574.0000  1040915.1875   192747.0312        22.49 %         0.00 %
  1030        4.5620  5427499.5000 20200092.0000 24442114.0000  1010065.7500   175247.0625        21.84 %         0.00 %
  1040        4.5720  5371071.5000 20200092.0000 24430274.0000   980329.7500   160851.7969        21.25 %         0.00 %
  1050        4.5820  5317040.0000 20200092.0000 24430704.0000   951136.5625   134798.8594        20.42 %         0.00 %
  1060        4.5920  5265006.5000 20200092.0000 24441620.0000   924119.6250    99575.5312        19.44 %         0.00 %
  1070        4.6020  5214523.0000 20200092.0000 24445228.0000   897488.1250    71773.5156        18.59 %         0.00 %
  1080        4.6120  5166270.0000 20200092.0000 24449766.0000   872052.0625    44989.7852        17.75 %         0.00 %
  1090        4.6220  5119852.5000 20200092.0000 24479086.0000   846961.5000    -6490.1665        16.42 %         0.00 %
  1100        4.6320  5075509.5000 20200092.0000 24503670.0000   823434.1875   -53202.1211        15.18 %         0.01 %
  1110        4.6420  5033109.5000 20200092.0000 24522650.0000   802077.3750   -91503.5234        14.12 %         0.00 %
  1120        4.6520  4992663.0000 20200092.0000 24554508.0000   781199.4375  -142584.4844        12.79 %         0.00 %
  1130        4.6620  4954194.0000 20200092.0000 24583428.0000   762269.6875  -192364.4688        11.50 %         0.00 %
  1140        4.6720  4917236.0000 20200092.0000 24601690.0000   745672.1250  -229516.7188        10.50 %         0.00 %
  1150        4.6820  4881972.5000 20200092.0000 24616046.0000   729431.8750  -261265.1719         9.59 %        -0.01 %
  1160        4.6919  4848295.5000 20200092.0000 24646464.0000   713929.8125  -312440.5938         8.28 %         0.00 %
  1170        4.7019  4815695.0000 20200092.0000 24666976.0000   699814.3125  -350879.5625         7.25 %         0.00 %
  1180        4.7119  4784597.0000 20200092.0000 24689726.0000   686417.2500  -390816.3750         6.18 %         0.00 %
  1190        4.7219  4754748.5000 20200092.0000 24714400.0000   674088.6875  -435042.5938         5.03 %         0.01 %
  1200        4.7319  4726270.5000 20200092.0000 24719610.0000   662667.3750  -453635.5312         4.42 %        -0.01 %
  1210        4.7419  4698763.0000 20200092.0000 24745278.0000   651161.2500  -498872.2500         3.24 %         0.01 %
  1220        4.7519  4672442.0000 20200092.0000 24760762.0000   641417.4375  -530601.8750         2.37 %         0.00 %
  1230        4.7619  4646788.0000 20200092.0000 24775222.0000   631587.3125  -559346.1250         1.55 %         0.00 %
  1240        4.7719  4622103.0000 20200092.0000 24796968.0000   621789.2500  -596014.5625         0.56 %         0.00 %
  1250        4.7819  4598316.5000 20200092.0000 24808292.0000   612971.0625  -620656.8125        -0.17 %        -0.01 %
  1260        4.7919  4575409.0000 20200092.0000 24828894.0000   604552.9375  -657425.1875        -1.16 %         0.00 %
  1270        4.8019  4553221.5000 20200092.0000 24837784.0000   596969.6875  -681129.0625        -1.85 %         0.00 %
  1280        4.8119  4531869.5000 20200092.0000 24830464.0000   590757.9375  -690020.4375        -2.19 %         0.00 %
  1290        4.8219  4511417.0000 20200092.0000 24840908.0000   583425.1250  -712994.8125        -2.87 %         0.00 %
  1300        4.8319  4491581.0000 20200092.0000 24846824.0000   576755.6875  -731778.8750        -3.45 %         0.00 %
  1310        4.8419  4472470.0000 20200092.0000 24851898.0000   570939.5625  -749755.0625        -4.00 %         0.00 %
  1320        4.8519  4453970.5000 20200092.0000 24856744.0000   564780.6250  -767261.8750        -4.55 %         0.00 %
  1330        4.8619  4436414.0000 20200092.0000 24855238.0000   560052.8750  -778607.7500        -4.93 %         0.00 %
  1340        4.8719  4419521.0000 20200092.0000 24850660.0000   555623.7500  -786167.3750        -5.22 %         0.00 %
  1350        4.8819  4403318.5000 20200092.0000 24843090.0000   551310.7500  -791426.1875        -5.45 %         0.00 %
  1360        4.8919  4387840.0000 20200092.0000 24839714.0000   547919.7500  -799328.3125        -5.73 %         0.00 %
  1370        4.9019  4372788.5000 20200092.0000 24816990.0000   544232.3125  -785788.3750        -5.52 %        -0.01 %
  1380        4.9119  4358675.0000 20200092.0000 24800156.0000   541162.6875  -782990.8125        -5.55 %         0.00 %
  1390        4.9219  4344834.5000 20200092.0000 24790986.0000   538139.5000  -782380.4375        -5.62 %        -0.01 %
  1400        4.9319  4331490.0000 20200092.0000 24767406.0000   535419.0625  -770766.7500        -5.43 %         0.00 %
  1410        4.9419  4319266.0000 20200092.0000 24736448.0000   533844.3750  -750824.1875        -5.02 %         0.00 %
  1420        4.9519  4306321.0000 20200092.0000 24711096.0000   530964.1875  -735305.7500        -4.75 %         0.00 %
  1430        4.9619  4294329.0000 20200092.0000 24670090.0000   529562.6875  -706216.8750        -4.11 %         0.00 %
  1440        4.9719  4281621.0000 20200092.0000 24641028.0000   526293.0000  -684618.4375        -3.70 %         0.00 %
  1450        4.9819  4269727.0000 20200092.0000 24609514.0000   524116.4375  -665493.3750        -3.31 %         0.01 %
  1460        4.9919  4258430.0000 20200092.0000 24564960.0000   522170.5312  -626188.0625        -2.44 %        -0.01 %
  1470        5.0019  4248100.5000 20200092.0000 24523984.0000   520756.7812  -594829.3125        -1.74 %        -0.01 %
  1480        5.0119  4236933.5000 20200092.0000 24482970.0000   518036.0312  -561954.6875        -1.04 %        -0.01 %
  1490        5.0219  4226009.0000 20200092.0000 24436240.0000   516665.6562  -525863.5000        -0.22 %         0.00 %
  1500        5.0319  4216728.0000 20200092.0000 24386288.0000   515587.4375  -484964.8438         0.73 %         0.00 %
  1510        5.0419  4206248.0000 20200092.0000 24342240.0000   513473.9062  -447183.9062         1.58 %        -0.01 %
  1520        5.0519  4196448.0000 20200092.0000 24289194.0000   512329.4688  -404370.0000         2.57 %         0.00 %
